Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Togo,Nigeria,All Products,Export,Partner share(%)-Top 5 Export Partner,,,      9.28,      9.68,      9.29,,      9.15,     13.78,,,,,,,,,,,,,,,,,,,,
Togo,Nigeria,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,      6.11,      9.03,      9.15,,,,,,,
Togo,Norway,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,      8.06,,,,,,,,,,,,,,,,,,,,,,,
Togo,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,      6.30,,,      5.67,     12.54,      6.28,      8.47,      6.94,     13.39,,,,,,
Togo,Philippines,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,      6.26,      6.27,,      9.74,,,,      5.41,,,,,,
Togo,Poland,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,     11.30,,,,,,,,,,,,,,,,,,,,,,,,
Togo,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,      8.10,,,,,,,,      5.64,,,,,,,,,,,,
Togo,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,      4.91,,,,,,,,,,,,,,,,      4.30,,,,,,,,,,,
Togo,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,      3.85,      4.73,,,,,,,,,      4.22,,,,,,,      4.25,      4.66,,,,,,,,,
Togo,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,      6.24,,      8.45,      7.74,     11.17,,,,,,,
Togo,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,      5.10,,      4.50,,,,,,,,,,,,,,,,,,,,
Togo,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,,,      5.15,      8.07,,,,,      4.24,,,,,,,,,,,,,      5.48,,,,,,
Togo,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,     19.68,,,,,,,,,,,,     16.43,,,,,,,
Togo,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,      6.98,,,,,,,,,,,
Togo,World,All Products,Trade Indicator,Country Growth (%),    -22.79,     -1.74,      2.23,     15.22,     20.35,      9.67,    -27.82,     25.86,     40.02,,     11.84,    -15.50,     54.10,     -8.68,     17.89,     -2.36,     -2.88,     -6.04,     21.02,      3.89,     23.65,     36.73,,,,,,
Togo,World,All Products,Tariff,Duty Free Tariff Lines Share (%),      2.45,      4.74,      4.74,      4.19,      4.49,      5.21,      5.14,      5.52,      5.52,,      1.95,      2.14,      2.13,      2.46,      2.18,      2.57,      0.31,,      0.40,      1.40,,,,,,,,
Togo,World,Animal,Export,Export Product share(%),      3.99,      4.00,      1.78,      1.76,      1.63,      1.12,      1.41,      1.46,      1.78,,      2.53,      4.36,      2.92,      6.40,      4.26,      2.44,      1.13,      1.91,      2.07,      1.69,      0.90,      0.69,,,,,,
Togo,World,Capital goods,Export,Export Product share(%),      6.42,      6.05,     13.67,     11.12,      3.90,      5.24,      3.51,      1.52,      0.32,,      1.77,      1.47,     22.67,      2.76,      2.83,      1.77,      3.26,      2.40,      2.29,      1.36,      1.88,      0.75,,,,,,
Togo,World,Chemicals,Export,Export Product share(%),     10.26,      6.78,      7.02,      7.23,     10.77,     10.30,      9.97,      7.68,      0.75,,      4.53,      1.57,      1.11,      0.87,      2.01,      0.50,      0.58,      0.62,      0.85,      0.46,      0.91,      0.31,,,,,,
Togo,World,Consumer goods,Export,Export Product share(%),     42.02,     33.63,     28.00,     26.14,     25.56,     26.04,     24.25,     30.81,     13.74,,     28.47,     18.13,     14.67,     13.37,     10.31,     12.05,     19.30,     13.58,     17.45,     29.52,     29.17,      6.17,,,,,,
